close_time_utc,open_time_utc,open,high,low,close,tick_volume,spread,real_volume,gap_bar
2021-07-02 01:00:00+00:00,2021-07-02 00:00:00+00:00,14547.23,14742.16,14527.36,14727.0,34205,0,0,False
2021-07-02 14:00:00+00:00,2021-07-02 13:00:00+00:00,14664.91,14678.59,14657.48,14666.88,1088,454,0,False
2021-07-02 15:00:00+00:00,2021-07-02 14:00:00+00:00,14667.65,14673.19,14639.83,14645.1,2919,443,0,False
2021-07-02 16:00:00+00:00,2021-07-02 15:00:00+00:00,14643.94,14690.28,14642.71,14681.85,2520,423,0,False
2021-07-02 17:00:00+00:00,2021-07-02 16:00:00+00:00,14682.12,14702.89,14669.65,14702.55,2269,425,0,False
2021-07-02 18:00:00+00:00,2021-07-02 17:00:00+00:00,14702.89,14707.66,14689.17,14704.34,2086,421,0,False
2021-07-02 19:00:00+00:00,2021-07-02 18:00:00+00:00,14704.13,14711.42,14696.83,14703.83,1969,415,0,False
2021-07-02 20:00:00+00:00,2021-07-02 19:00:00+00:00,14703.42,14742.16,14700.46,14727.0,2199,417,0,False
2021-07-04 01:00:00+00:00,2021-07-04 00:00:00+00:00,14731.93,14734.62,14725.23,14728.43,962,0,0,False
2021-07-04 23:00:00+00:00,2021-07-04 22:00:00+00:00,14731.93,14733.19,14726.33,14728.35,288,461,0,False
2021-07-05 00:00:00+00:00,2021-07-04 23:00:00+00:00,14728.66,14734.62,14725.23,14728.43,686,453,0,False
2021-07-05 01:00:00+00:00,2021-07-05 00:00:00+00:00,14728.52,14732.01,14719.29,14724.31,1235,437,0,False
2021-07-05 02:00:00+00:00,2021-07-05 01:00:00+00:00,14725.05,14727.67,14720.15,14722.37,1365,420,0,False
2021-07-05 03:00:00+00:00,2021-07-05 02:00:00+00:00,14722.14,14725.07,14718.18,14721.17,941,421,0,False
2021-07-05 04:00:00+00:00,2021-07-05 03:00:00+00:00,14721.06,14723.13,14710.84,14716.35,838,418,0,False
2021-07-05 05:00:00+00:00,2021-07-05 04:00:00+00:00,14716.48,14721.68,14714.93,14717.47,450,416,0,False
2021-07-05 06:00:00+00:00,2021-07-05 05:00:00+00:00,14717.35,14717.69,14705.07,14710.68,971,426,0,False
2021-07-05 07:00:00+00:00,2021-07-05 06:00:00+00:00,14710.56,14710.68,14703.06,14707.41,1120,422,0,False
2021-07-05 08:00:00+00:00,2021-07-05 07:00:00+00:00,14707.58,14711.14,14688.82,14699.15,1778,425,0,False
2021-07-05 09:00:00+00:00,2021-07-05 08:00:00+00:00,14699.07,14710.4,14697.09,14702.91,1414,419,0,False
2021-07-05 10:00:00+00:00,2021-07-05 09:00:00+00:00,14702.6,14718.06,14699.81,14711.93,1211,415,0,False
2021-07-05 11:00:00+00:00,2021-07-05 10:00:00+00:00,14712.29,14718.26,14708.96,14716.36,1174,428,0,False
2021-07-05 12:00:00+00:00,2021-07-05 11:00:00+00:00,14717.07,14723.65,14710.33,14713.1,1094,427,0,False
2021-07-05 13:00:00+00:00,2021-07-05 12:00:00+00:00,14713.35,14722.44,14710.23,14720.64,1056,419,0,False
2021-07-05 14:00:00+00:00,2021-07-05 13:00:00+00:00,14720.6,14726.25,14706.72,14709.15,1260,422,0,False
2021-07-05 15:00:00+00:00,2021-07-05 14:00:00+00:00,14709.11,14715.96,14707.11,14714.74,958,418,0,False
2021-07-05 16:00:00+00:00,2021-07-05 15:00:00+00:00,14714.74,14715.61,14706.37,14707.72,827,408,0,False
2021-07-05 17:00:00+00:00,2021-07-05 16:00:00+00:00,14708.23,14710.63,14703.12,14705.59,638,413,0,False
2021-07-05 23:00:00+00:00,2021-07-05 22:00:00+00:00,14718.88,14725.07,14718.08,14720.04,214,435,0,True
2021-07-06 00:00:00+00:00,2021-07-05 23:00:00+00:00,14720.13,14729.59,14719.24,14726.89,569,444,0,False
2021-07-06 01:00:00+00:00,2021-07-06 00:00:00+00:00,14726.77,14735.34,14723.13,14728.07,955,436,0,False
2021-07-06 02:00:00+00:00,2021-07-06 01:00:00+00:00,14728.07,14729.01,14703.28,14705.74,1285,430,0,False
2021-07-06 03:00:00+00:00,2021-07-06 02:00:00+00:00,14705.61,14712.74,14695.49,14696.95,1143,419,0,False
2021-07-06 04:00:00+00:00,2021-07-06 03:00:00+00:00,14696.88,14700.17,14693.91,14697.6,871,431,0,False
2021-07-06 05:00:00+00:00,2021-07-06 04:00:00+00:00,14697.88,14704.49,14696.9,14699.12,653,431,0,False
2021-07-06 06:00:00+00:00,2021-07-06 05:00:00+00:00,14699.38,14705.87,14693.86,14698.67,1058,431,0,False
2021-07-06 07:00:00+00:00,2021-07-06 06:00:00+00:00,14699.05,14717.6,14695.35,14712.4,1360,436,0,False
2021-07-06 08:00:00+00:00,2021-07-06 07:00:00+00:00,14712.52,14712.79,14683.55,14711.42,2442,438,0,False
2021-07-06 09:00:00+00:00,2021-07-06 08:00:00+00:00,14710.08,14721.1,14703.58,14712.46,1742,425,0,False
2021-07-06 10:00:00+00:00,2021-07-06 09:00:00+00:00,14712.15,14724.15,14708.51,14723.01,1471,429,0,False
2021-07-06 11:00:00+00:00,2021-07-06 10:00:00+00:00,14722.82,14745.04,14718.37,14729.67,1656,443,0,False
2021-07-06 12:00:00+00:00,2021-07-06 11:00:00+00:00,14729.27,14755.6,14729.15,14745.43,1542,448,0,False
2021-07-06 13:00:00+00:00,2021-07-06 12:00:00+00:00,14745.23,14757.61,14741.71,14749.94,1510,434,0,False
2021-07-06 14:00:00+00:00,2021-07-06 13:00:00+00:00,14750.15,14785.07,14746.63,14766.01,2757,434,0,False
2021-07-06 15:00:00+00:00,2021-07-06 14:00:00+00:00,14766.73,14802.03,14727.56,14743.59,3469,454,0,False
2021-07-06 16:00:00+00:00,2021-07-06 15:00:00+00:00,14743.94,14767.66,14714.45,14733.49,3295,446,0,False
2021-07-06 17:00:00+00:00,2021-07-06 16:00:00+00:00,14732.55,14732.55,14637.9,14714.0,3459,437,0,False
2021-07-06 18:00:00+00:00,2021-07-06 17:00:00+00:00,14713.16,14753.08,14708.28,14747.6,2534,432,0,False
2021-07-06 19:00:00+00:00,2021-07-06 18:00:00+00:00,14747.16,14768.3,14740.46,14758.52,2412,428,0,False
2021-07-06 20:00:00+00:00,2021-07-06 19:00:00+00:00,14758.39,14795.19,14755.0,14790.25,2499,427,0,False
