close_time_utc,open_time_utc,open,high,low,close,tick_volume,spread,real_volume,gap_bar
2021-07-02 00:15:00+00:00,2021-07-02 00:00:00+00:00,14547.23,14742.16,14527.36,14727.0,34205,0,0,False
2021-07-02 13:45:00+00:00,2021-07-02 13:30:00+00:00,14664.91,14668.09,14657.48,14664.83,252,470,0,False
2021-07-02 14:00:00+00:00,2021-07-02 13:45:00+00:00,14664.64,14678.59,14659.73,14666.88,836,454,0,False
2021-07-02 14:15:00+00:00,2021-07-02 14:00:00+00:00,14667.65,14673.19,14656.91,14663.2,780,448,0,False
2021-07-02 14:30:00+00:00,2021-07-02 14:15:00+00:00,14664.16,14672.78,14660.69,14661.96,726,444,0,False
2021-07-02 14:45:00+00:00,2021-07-02 14:30:00+00:00,14661.99,14662.28,14639.83,14646.78,755,448,0,False
2021-07-02 15:00:00+00:00,2021-07-02 14:45:00+00:00,14646.51,14654.98,14641.1,14645.1,658,443,0,False
2021-07-02 15:15:00+00:00,2021-07-02 15:00:00+00:00,14643.94,14662.26,14642.97,14652.42,658,438,0,False
2021-07-02 15:30:00+00:00,2021-07-02 15:15:00+00:00,14652.68,14659.51,14642.71,14649.28,667,443,0,False
2021-07-02 15:45:00+00:00,2021-07-02 15:30:00+00:00,14649.89,14673.49,14647.77,14673.35,622,432,0,False
2021-07-02 16:00:00+00:00,2021-07-02 15:45:00+00:00,14673.58,14690.28,14671.86,14681.85,573,423,0,True
2021-07-02 16:15:00+00:00,2021-07-02 16:00:00+00:00,14682.12,14683.6,14669.65,14678.12,583,432,0,False
2021-07-02 16:30:00+00:00,2021-07-02 16:15:00+00:00,14678.13,14687.57,14676.98,14683.0,538,429,0,False
2021-07-02 16:45:00+00:00,2021-07-02 16:30:00+00:00,14684.04,14691.3,14681.55,14688.89,563,430,0,False
2021-07-02 17:00:00+00:00,2021-07-02 16:45:00+00:00,14689.12,14702.89,14688.35,14702.55,585,425,0,False
2021-07-02 17:15:00+00:00,2021-07-02 17:00:00+00:00,14702.89,14706.19,14697.34,14701.46,541,424,0,False
2021-07-02 17:30:00+00:00,2021-07-02 17:15:00+00:00,14701.89,14702.2,14689.17,14693.85,548,421,0,False
2021-07-02 17:45:00+00:00,2021-07-02 17:30:00+00:00,14694.46,14707.19,14693.9,14706.62,495,422,0,False
2021-07-02 18:00:00+00:00,2021-07-02 17:45:00+00:00,14706.81,14707.66,14701.39,14704.34,502,422,0,False
2021-07-02 18:15:00+00:00,2021-07-02 18:00:00+00:00,14704.13,14708.39,14701.37,14704.71,493,423,0,False
2021-07-02 18:30:00+00:00,2021-07-02 18:15:00+00:00,14704.39,14711.41,14703.47,14710.63,477,416,0,False
2021-07-02 18:45:00+00:00,2021-07-02 18:30:00+00:00,14711.42,14711.42,14703.66,14704.98,474,415,0,True
2021-07-02 19:00:00+00:00,2021-07-02 18:45:00+00:00,14705.24,14706.19,14696.83,14703.83,525,419,0,False
2021-07-02 19:15:00+00:00,2021-07-02 19:00:00+00:00,14703.42,14714.83,14700.46,14711.44,535,423,0,False
