close_time_utc,open_time_utc,open,high,low,close,tick_volume,spread,real_volume,gap_bar
2017-02-27 01:00:00+00:00,2017-02-27 00:00:00+00:00,1255.821,1263.771,1250.907,1253.34,82011,0,0,False
2017-02-27 07:00:00+00:00,2017-02-27 06:00:00+00:00,1256.284,1257.662,1256.039,1257.622,2239,0,0,False
2017-02-27 08:00:00+00:00,2017-02-27 07:00:00+00:00,1257.628,1257.897,1256.596,1257.238,2526,0,0,False
2017-02-27 09:00:00+00:00,2017-02-27 08:00:00+00:00,1257.235,1257.329,1255.594,1256.278,3223,0,0,False
2017-02-27 10:00:00+00:00,2017-02-27 09:00:00+00:00,1256.279,1256.349,1253.319,1254.796,4251,0,0,False
2017-02-27 11:00:00+00:00,2017-02-27 10:00:00+00:00,1254.796,1255.203,1253.711,1255.149,3089,0,0,False
2017-02-27 12:00:00+00:00,2017-02-27 11:00:00+00:00,1255.15,1256.543,1255.071,1256.107,2952,0,0,False
2017-02-27 13:00:00+00:00,2017-02-27 12:00:00+00:00,1256.105,1256.124,1254.921,1255.085,2317,0,0,False
2017-02-27 14:00:00+00:00,2017-02-27 13:00:00+00:00,1255.1,1255.815,1253.97,1255.491,3211,0,0,False
2017-02-27 15:00:00+00:00,2017-02-27 14:00:00+00:00,1255.482,1256.835,1253.762,1256.501,4856,0,0,False
2017-02-27 16:00:00+00:00,2017-02-27 15:00:00+00:00,1256.493,1258.946,1255.674,1257.155,4674,0,0,False
2017-02-27 17:00:00+00:00,2017-02-27 16:00:00+00:00,1257.182,1260.003,1256.679,1259.696,5775,0,0,False
2017-02-27 18:00:00+00:00,2017-02-27 17:00:00+00:00,1259.667,1263.771,1258.933,1262.946,5565,0,0,False
2017-02-27 19:00:00+00:00,2017-02-27 18:00:00+00:00,1262.922,1263.512,1259.863,1260.232,4702,0,0,False
2017-02-27 20:00:00+00:00,2017-02-27 19:00:00+00:00,1260.243,1260.825,1256.512,1257.271,4846,0,0,False
2017-02-27 21:00:00+00:00,2017-02-27 20:00:00+00:00,1257.28,1257.903,1254.582,1255.125,4527,0,0,False
2017-02-27 22:00:00+00:00,2017-02-27 21:00:00+00:00,1255.164,1255.331,1250.907,1251.089,5507,0,0,False
2017-02-27 23:00:00+00:00,2017-02-27 22:00:00+00:00,1251.048,1252.985,1251.023,1252.053,2513,0,0,False
2017-02-28 01:00:00+00:00,2017-02-28 00:00:00+00:00,1252.227,1254.338,1251.491,1253.34,2370,0,0,False
